fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,velmedia,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,dir,racha,horaracha
2025-12-31,3129,MADRID AEROPUERTO,MADRID,609,"3,8",Ip,"-2,5",07:20,"10,0",15:21,"0,8","8,4","952,2",Varias,"949,9",14,77,97,07:46,51,14:55,99,"5,0",Varias
2026-01-01,3129,MADRID AEROPUERTO,MADRID,609,"1,1",Ip,"-2,7",06:30,"4,9",16:24,"1,9","2,2","951,7",00,"947,2",23,89,97,03:07,76,11:16,18,"5,0",12:24
2026-01-02,3129,MADRID AEROPUERTO,MADRID,609,"7,1","0,8","4,3",00:06,"9,9",13:33,"1,7","0,0","947,4",01,"940,4",24,89,98,23:30,80,13:41,35,"4,7",22:46
2026-01-03,3129,MADRID AEROPUERTO,MADRID,609,"9,2",Ip,"5,4",04:47,"13,1",15:17,"2,2","1,2","940,6",00,"935,8",16,85,99,00:00,69,15:25,99,"5,8",Varias
2026-01-04,3129,MADRID AEROPUERTO,MADRID,609,"8,0","6,9","3,1",23:52,"12,9",13:11,"2,2","2,1","939,6",Varias,"935,4",13,77,96,08:54,62,13:08,07,"6,7",19:51
2026-01-05,3129,MADRID AEROPUERTO,MADRID,609,"2,5","3,4","-1,1",23:55,"6,1",14:44,"2,8","6,6","945,3",Varias,"939,6",00,72,96,03:50,50,16:09,99,"10,3",Varias
2026-01-06,3129,MADRID AEROPUERTO,MADRID,609,"1,4","0,0","-3,3",04:08,"6,0",13:56,"6,4","8,5","953,1",Varias,"945,0",00,51,80,04:13,38,15:33,36,"16,4",09:44
2026-01-07,3129,MADRID AEROPUERTO,MADRID,609,"3,2","0,0","-3,5",Varias,"9,8",14:49,"1,9","6,7","959,5",Varias,"952,1",05,66,95,23:26,50,Varias,25,"7,8",15:57
2026-01-08,3129,MADRID AEROPUERTO,MADRID,609,"2,6","0,0","-0,4",00:15,"5,6",23:32,"2,2","0,0","962,0",Varias,"957,1",24,92,99,02:32,86,17:42,22,"12,5",19:21
2026-01-09,3129,MADRID AEROPUERTO,MADRID,609,"9,2","0,0","5,6",00:00,"12,7",13:14,"7,8","8,0","957,2",00,"952,4",15,59,92,00:52,39,13:30,27,"15,0",14:58
